#スプレッドシートで計算
#tone:5001 start:500nm end:3950nm delta_n:0.5
#thickness,hex_color_code
500,F2FEFB
500.69,F2FEFB
501.38,F2FEFB
502.07,F2FEFB
502.76,F2FEFB
503.45,F3FEFB
504.14,F3FEFB
504.83,F3FEFA
505.52,F3FEFA
506.21,F3FEFA
506.9,F3FEFA
507.59,F3FEFA
508.28,F4FEFA
508.97,F4FFFA
509.66,F4FFFA
510.35,F4FFFA
511.04,F4FFF9
511.73,F4FFF9
512.42,F4FFF9
513.11,F4FFF9
513.8,F5FFF9
514.49,F5FFF9
515.18,F5FFF9
515.87,F5FFF8
516.56,F5FFF8
517.25,F5FFF8
517.94,F5FFF8
518.63,F5FFF8
519.32,F6FFF8
520.01,F6FFF8
520.7,F6FFF7
521.39,F6FFF7
522.08,F6FFF7
522.77,F6FFF7
523.46,F6FFF7
524.15,F6FFF7
524.84,F7FFF7
525.53,F7FFF6
526.22,F7FFF6
526.91,F7FFF6
527.6,F7FFF6
528.29,F7FFF6
528.98,F7FFF6
529.67,F7FFF5
530.36,F7FFF5
531.05,F8FFF5
531.74,F8FFF5
532.43,F8FFF5
533.12,F8FFF5
533.81,F8FFF4
534.5,F8FFF4
535.19,F8FFF4
535.88,F8FFF4
536.57,F8FFF4
537.26,F9FFF4
537.95,F9FFF3
538.64,F9FFF3
539.33,F9FFF3
540.02,F9FFF3
540.71,F9FFF3
541.4,F9FFF2
542.09,F9FFF2
542.78,F9FFF2
543.47,F9FFF2
544.16,FAFFF2
544.85,FAFFF1
545.54,FAFFF1
546.23,FAFFF1
546.92,FAFFF1
547.61,FAFFF1
548.3,FAFFF0
548.99,FAFFF0
549.68,FAFFF0
550.37,FAFFF0
551.06,FBFFF0
551.75,FBFFEF
552.44,FBFFEF
553.13,FBFFEF
553.82,FBFFEF
554.51,FBFFEF
555.2,FBFFEE
555.89,FBFFEE
556.58,FBFFEE
557.27,FBFFEE
557.96,FBFFEE
558.65,FCFFED
559.34,FCFFED
560.03,FCFFED
560.72,FCFFED
561.41,FCFFEC
562.1,FCFFEC
562.79,FCFFEC
563.48,FCFFEC
564.17,FCFFEC
564.86,FCFFEB
565.55,FCFFEB
566.24,FCFFEB
566.93,FDFFEB
567.62,FDFFEA
568.31,FDFFEA
569,FDFFEA
569.69,FDFFEA
570.38,FDFFE9
571.07,FDFFE9
571.76,FDFFE9
572.45,FDFFE9
573.14,FDFFE8
573.83,FDFFE8
574.52,FDFFE8
575.21,FDFFE8
575.9,FEFFE7
576.59,FEFFE7
577.28,FEFFE7
577.97,FEFFE7
578.66,FEFFE6
579.35,FEFFE6
580.04,FEFEE6
580.73,FEFEE6
581.42,FEFEE5
582.11,FEFEE5
582.8,FEFEE5
583.49,FEFEE5
584.18,FEFEE4
584.87,FEFEE4
585.56,FEFEE4
586.25,FFFEE3
586.94,FFFEE3
587.63,FFFEE3
588.32,FFFEE3
589.01,FFFEE2
589.7,FFFEE2
590.39,FFFEE2
591.08,FFFEE2
591.77,FFFEE1
592.46,FFFEE1
593.15,FFFDE1
593.84,FFFDE0
594.53,FFFDE0
595.22,FFFDE0
595.91,FFFDE0
596.6,FFFDDF
597.29,FFFDDF
597.98,FFFDDF
598.67,FFFDDE
599.36,FFFDDE
600.05,FFFDDE
600.74,FFFDDE
601.43,FFFDDD
602.12,FFFDDD
602.81,FFFCDD
603.5,FFFCDC
604.19,FFFCDC
604.88,FFFCDC
605.57,FFFCDB
606.26,FFFCDB
606.95,FFFCDB
607.64,FFFCDA
608.33,FFFCDA
609.02,FFFCDA
609.71,FFFCDA
610.4,FFFCD9
611.09,FFFBD9
611.78,FFFBD9
612.47,FFFBD8
613.16,FFFBD8
613.85,FFFBD8
614.54,FFFBD7
615.23,FFFBD7
615.92,FFFBD7
616.61,FFFBD6
617.3,FFFBD6
617.99,FFFBD6
618.68,FFFAD5
619.37,FFFAD5
620.06,FFFAD5
620.75,FFFAD4
621.44,FFFAD4
622.13,FFFAD4
622.82,FFFAD3
623.51,FFFAD3
624.2,FFFAD3
624.89,FFFAD2
625.58,FFF9D2
626.27,FFF9D2
626.96,FFF9D1
627.65,FFF9D1
628.34,FFF9D1
629.03,FFF9D0
629.72,FFF9D0
630.41,FFF9D0
631.1,FFF9CF
631.79,FFF8CF
632.48,FFF8CE
633.17,FFF8CE
633.86,FFF8CE
634.55,FFF8CD
635.24,FFF8CD
635.93,FFF8CD
636.62,FFF8CC
637.31,FFF7CC
638,FFF7CC
638.69,FFF7CB
639.38,FFF7CB
640.07,FFF7CA
640.76,FFF7CA
641.45,FFF7CA
642.14,FFF7C9
642.83,FFF6C9
643.52,FFF6C9
644.21,FFF6C8
644.9,FFF6C8
645.59,FFF6C7
646.28,FFF6C7
646.97,FFF6C7
647.66,FFF6C6
648.35,FFF5C6
649.04,FFF5C6
649.73,FFF5C5
650.42,FFF5C5
651.11,FFF5C4
651.8,FFF5C4
652.49,FFF5C4
653.18,FFF4C3
653.87,FFF4C3
654.56,FFF4C2
655.25,FFF4C2
655.94,FFF4C2
656.63,FFF4C1
657.32,FFF4C1
658.01,FFF3C0
658.7,FFF3C0
659.39,FFF3C0
660.08,FFF3BF
660.77,FFF3BF
661.46,FFF3BE
662.15,FFF3BE
662.84,FFF2BE
663.53,FFF2BD
664.22,FFF2BD
664.91,FFF2BC
665.6,FFF2BC
666.29,FFF2BC
666.98,FFF1BB
667.67,FFF1BB
668.36,FFF1BA
669.05,FFF1BA
669.74,FFF1B9
670.43,FFF1B9
671.12,FFF0B9
671.81,FFF0B8
672.5,FFF0B8
673.19,FFF0B7
673.88,FFF0B7
674.57,FFF0B6
675.26,FFEFB6
675.95,FFEFB6
676.64,FFEFB5
677.33,FFEFB5
678.02,FFEFB4
678.71,FFEFB4
679.4,FFEEB3
680.09,FFEEB3
680.78,FFEEB3
681.47,FFEEB2
682.16,FFEEB2
682.85,FFEEB1
683.54,FFEDB1
684.23,FFEDB0
684.92,FFEDB0
685.61,FFEDAF
686.3,FFEDAF
686.99,FFECAE
687.68,FFECAE
688.37,FFECAE
689.06,FFECAD
689.75,FFECAD
690.44,FFEBAC
691.13,FFEBAC
691.82,FFEBAB
692.51,FFEBAB
693.2,FFEBAA
693.89,FFEBAA
694.58,FFEAA9
695.27,FFEAA9
695.96,FFEAA8
696.65,FFEAA8
697.34,FFEAA8
698.03,FFE9A7
698.72,FFE9A7
699.41,FFE9A6
700.1,FFE9A6
700.79,FFE9A5
701.48,FFE8A5
702.17,FFE8A4
702.86,FFE8A4
703.55,FFE8A3
704.24,FFE7A3
704.93,FFE7A2
705.62,FFE7A2
706.31,FFE7A1
707,FFE7A1
707.69,FFE6A0
708.38,FFE6A0
709.07,FFE69F
709.76,FFE69F
710.45,FFE69E
711.14,FFE59E
711.83,FFE59D
712.52,FFE59D
713.21,FFE59C
713.9,FFE49C
714.59,FFE49B
715.28,FFE49B
715.97,FFE49A
716.66,FFE49A
717.35,FFE399
718.04,FFE399
718.73,FFE398
719.42,FEE398
720.11,FEE297
720.8,FEE297
721.49,FEE296
722.18,FEE296
722.87,FEE295
723.56,FEE195
724.25,FEE194
724.94,FEE194
725.63,FEE193
726.32,FEE093
727.01,FEE092
727.7,FEE092
728.39,FEE091
729.08,FEDF90
729.77,FDDF90
730.46,FDDF8F
731.15,FDDF8F
731.84,FDDE8E
732.53,FDDE8E
733.22,FDDE8D
733.91,FDDE8D
734.6,FDDD8C
735.29,FDDD8C
735.98,FDDD8B
736.67,FDDD8B
737.36,FDDC8A
738.05,FDDC89
738.74,FCDC89
739.43,FCDC88
740.12,FCDB88
740.81,FCDB87
741.5,FCDB87
742.19,FCDB86
742.88,FCDA86
743.57,FCDA85
744.26,FCDA84
744.95,FCDA84
745.64,FCD983
746.33,FCD983
747.02,FBD982
747.71,FBD982
748.4,FBD881
749.09,FBD881
749.78,FBD880
750.47,FBD87F
751.16,FBD77F
751.85,FBD77E
752.54,FBD77E
753.23,FBD77D
753.92,FAD67C
754.61,FAD67C
755.3,FAD67B
755.99,FAD57B
756.68,FAD57A
757.37,FAD57A
758.06,FAD579
758.75,FAD478
759.44,FAD478
760.13,FAD477
760.82,F9D377
761.51,F9D376
762.2,F9D375
762.89,F9D375
763.58,F9D274
764.27,F9D274
764.96,F9D273
765.65,F9D272
766.34,F9D172
767.03,F9D171
767.72,F8D171
768.41,F8D070
769.1,F8D06F
769.79,F8D06F
770.48,F8CF6E
771.17,F8CF6E
771.86,F8CF6D
772.55,F8CF6C
773.24,F7CE6C
773.93,F7CE6B
774.62,F7CE6A
775.31,F7CD6A
776,F7CD69
776.69,F7CD69
777.38,F7CD68
778.07,F7CC67
778.76,F7CC67
779.45,F6CC66
780.14,F6CB65
780.83,F6CB65
781.52,F6CB64
782.21,F6CA63
782.9,F6CA63
783.59,F6CA62
784.28,F6C961
784.97,F5C961
785.66,F5C960
786.35,F5C95F
787.04,F5C85F
787.73,F5C85E
788.42,F5C85D
789.11,F5C75D
789.8,F5C75C
790.49,F4C75B
791.18,F4C65B
791.87,F4C65A
792.56,F4C659
793.25,F4C559
793.94,F4C558
794.63,F4C557
795.32,F3C457
796.01,F3C456
796.7,F3C455
797.39,F3C355
798.08,F3C354
798.77,F3C353
799.46,F3C253
800.15,F2C252
800.84,F2C251
801.53,F2C250
802.22,F2C150
802.91,F2C14F
803.6,F2C14E
804.29,F2C04E
804.98,F1C04D
805.67,F1C04C
806.36,F1BF4B
807.05,F1BF4B
807.74,F1BF4A
808.43,F1BE49
809.12,F1BE48
809.81,F0BD48
810.5,F0BD47
811.19,F0BD46
811.88,F0BC45
812.57,F0BC45
813.26,F0BC44
813.95,EFBB43
814.64,EFBB42
815.33,EFBB41
816.02,EFBA41
816.71,EFBA40
817.4,EFBA3F
818.09,EEB93E
818.78,EEB93E
819.47,EEB93D
820.16,EEB83C
820.85,EEB83B
821.54,EEB83A
822.23,EEB739
822.92,EDB739
823.61,EDB738
824.3,EDB637
824.99,EDB636
825.68,EDB535
826.37,EDB534
827.06,ECB533
827.75,ECB433
828.44,ECB432
829.13,ECB431
829.82,ECB330
830.51,EBB32F
831.2,EBB32E
831.89,EBB22D
832.58,EBB22C
833.27,EBB12B
833.96,EBB12A
834.65,EAB129
835.34,EAB028
836.03,EAB027
836.72,EAB026
837.41,EAAF25
838.1,EAAF24
838.79,E9AE23
839.48,E9AE22
840.17,E9AE21
840.86,E9AD1F
841.55,E9AD1E
842.24,E8AD1D
842.93,E8AC1C
843.62,E8AC1B
844.31,E8AB19
845,E8AB18
845.69,E8AB16
846.38,E7AA15
847.07,E7AA13
847.76,E7A912
848.45,E7A910
849.14,E7A90E
849.83,E6A80C
850.52,E6A80A
851.21,E6A808
851.9,E6A705
852.59,E6A703
853.28,E5A601
853.97,E5A600
854.66,E5A600
855.35,E5A500
856.04,E5A500
856.73,E4A400
857.42,E4A400
858.11,E4A400
858.8,E4A300
859.49,E4A300
860.18,E3A200
860.87,E3A200
861.56,E3A200
862.25,E3A100
862.94,E3A100
863.63,E2A000
864.32,E2A000
865.01,E2A000
865.7,E29F00
866.39,E29F00
867.08,E19E00
867.77,E19E00
868.46,E19D00
869.15,E19D00
869.84,E09D00
870.53,E09C00
871.22,E09C00
871.91,E09B00
872.6,E09B00
873.29,DF9B00
873.98,DF9A00
874.67,DF9A00
875.36,DF9900
876.05,DF9900
876.74,DE9800
877.43,DE9800
878.12,DE9800
878.81,DE9700
879.5,DD9700
880.19,DD9600
880.88,DD9600
881.57,DD9500
882.26,DC9500
882.95,DC9500
883.64,DC9400
884.33,DC9400
885.02,DC9300
885.71,DB9300
886.4,DB9200
887.09,DB9200
887.78,DB9200
888.47,DA9100
889.16,DA9100
889.85,DA9000
890.54,DA9000
891.23,D98F00
891.92,D98F00
892.61,D98F00
893.3,D98E00
893.99,D98E00
894.68,D88D00
895.37,D88D00
896.06,D88C00
896.75,D88C00
897.44,D78B00
898.13,D78B00
898.82,D78A00
899.51,D78A00
900.2,D68A00
900.89,D68900
901.58,D68900
902.27,D68800
902.96,D58800
903.65,D58700
904.34,D58700
905.03,D58600
905.72,D48600
906.41,D48500
907.1,D48500
907.79,D48500
908.48,D38400
909.17,D38400
909.86,D38300
910.55,D38300
911.24,D28200
911.93,D28200
912.62,D28100
913.31,D28100
914,D18000
914.69,D18000
915.38,D17F00
916.07,D17F00
916.76,D07E00
917.45,D07E00
918.14,D07D00
918.83,CF7D00
919.52,CF7C00
920.21,CF7C00
920.9,CF7C00
921.59,CE7B00
922.28,CE7B00
922.97,CE7A00
923.66,CE7A00
924.35,CD7900
925.04,CD7900
925.73,CD7800
926.42,CC7800
927.11,CC7700
927.8,CC7700
928.49,CC7600
929.18,CB7600
929.87,CB7501
930.56,CB7503
931.25,CB7405
931.94,CA7408
932.63,CA730A
933.32,CA730C
934.01,C9720E
934.7,C97210
935.39,C97112
936.08,C97113
936.77,C87015
937.46,C87016
938.15,C86F18
938.84,C76F19
939.53,C76E1A
940.22,C76E1C
940.91,C76D1D
941.6,C66D1E
942.29,C66C1F
942.98,C66C21
943.67,C56B22
944.36,C56A23
